_ (Å),Ion,Ei (eV),Ek (eV),Configurations,Terms,Ji - Jk,Type  (if not E1),Creation IP (eV),Observation References,Note
7135.79,[Ar III],0,1.737,3s23p4 - 3s23p4,3P-1D,2-Feb,M1,27.63,R11,
7155.157,[Fe II],0.232,1.965,3p63d7 - 3p63d7 ,a 4F - a 2G,9/2 - 9/2,M1,7.87,OF96,
7170.62,[Ar IV],2.615,4.343, 3s23p3 - 3s23p3,2D0 - 2P0,3/2 - 3/2,M1,40.74,I04,
7172,[Fe II],0.301,2.03,3p63d7 - 3p63d7 ,a 4F - a 2G,7/2 - 7/2,M1,7.87,OF96,
7236.42,C II,16.333,18.046,2s23p - 2s23d,2P0 - 2D ,3/2 - 5/2,,11.26,O90,
7237.26,[Ar IV],2.631,4.343,3s23p3 - 3s23p3,2D0 - 2P0,5/2 - 3/2,M1,40.74,I04,
7254.448,O I,10.989,12.697,2s22p3(4S0)3p - 2s22p3(4S0)5s,3P - 3S0,1-Feb,,0,O90,
7262.76,[Ar IV],2.615,4.321,3s23p3 - 3s23p3,2D0 - 2P0,3/2 - 1/2,M1,40.74,I04,
7281.349,He I,21.218,22.92,1s2p - 1s3s,1P0 - 1S,Jan-00,,0,O90,
7319.99,[O II],3.324,5.017,2s22p3 - 2s22p3,2D0 - 2P0,5/2-3/2,M1,13.62,FO87,
7330.73,[O II],3.327,5.017, 2s22p3 - 2s22p3,2D0 - 2P0,3/2-3/2,M1,13.62,FO87,
7377.83,[Ni II],0,1.68,3p63d9 - 3p63d8(3F)4s,2D - 2F,5/2 - 7/2,M1,7.64,A92,
7411.16,[Ni II],0.187,1.86,3p63d9 - 3p63d8(3F)4s,2D - 2F,3/2 - 5/2,M1,7.64,O90,
7452.538,[Fe II],0.301,1.964,3p63d7 - 3p63d7,a 4F - a 4G,7/2 - 9/2,M1,7.87,O90,
7468.31,N I,10.336,11.996,2s22p2(3P)3s - 2s22p2(3P)3p,4P - 4S0,5/2 - 3/2,,0,O90,
7611,[S XII],0,1.629,2s22p - 2s22p,2Po-2Po,1/2-3/2,M1,504.78,W11,
7751.06,[Ar III],0.138,1.737,3s23p4 - 3s23p4,3P - 1D,2-Jan,M1,27.63,A92,
7816.136,He I,22.718,24.304,1s3s - 1s7p,3S - 3P0,,,,O90,
7868.194,Ar I,13.273,14.848,3s23p5(2P03/2)4p - 3s23p5(2P03/2)6s,2[1/2] - 2[3/2]0,0-1,,0,R11,
7889.9,[Ni III],0.169,1.74,3p63d8 - 3p63d8,3F - 1D,2-Mar,M1,18.17,VB01,
7891.8,[Fe XI],0,1.571,3s23p4 - 3s23p4,3P - 3P,1-Feb,M1,262.1,"FO87, R11, K08",
